idx	outcome	cause	test	rc	dur_s	sub_passed	sub_failed	metric	reason
73	PASS	ok	families::quality_vs_pygam_poisson_2d_shape::gam_poisson_2d_recovers_true_log_mean_surface	0	5	1	0	edf=3.595 edf=6.584 pearson=0.99088 edf=7.042 edf=8.313 pearson=0.98736 	
74	PASS	ok	families::quality_vs_pygam_poisson_2d_shape::gam_poisson_2d_recovers_true_log_mean_surface_on_real_data	0	73	1	0	edf=14.070 edf=12.896 pearson=0.99509 	
75	PASS	ok	families::quality_vs_pymc_hmc_binomial_penalized_vs_unpenalized::gam_penalized_binomial_posterior_matches_pymc_and_concentrates_with_lambda	0	30	1	0	ess=2506 rmse_vs_truth=0.74757 ess=4508 rmse_vs_truth=0.56657 ess=4819 rmse_vs_truth=0.38556 rmse_vs_truth=0.74998 rmse_vs_truth=0.56586 rmse_vs_truth=0.38746 	
76	GAM_ERROR	gam_fit_failed	families::quality_vs_pymc_hmc_binomial_penalized_vs_unpenalized::gam_penalized_binomial_posterior_matches_pymc_and_concentrates_with_lambda_on_real_data	101	2	0	1		thread 'families::quality_vs_pymc_hmc_binomial_penalized_vs_unpenalized::gam_penalized_binomial_posterior_matches_pymc_and_concentrates_with_lambda_on_real_data' (46893) panicked at tests/quality/families/quality_vs_pymc_hmc_binomial_penalized_vs_unpenalized.rs:614:10: :: gam binomial fit on prostate train: IntegrationFailed { reason: 'Invalid input: exact smoothing-corrected covariance unavailabl
77	PASS	ok	families::quality_vs_pymc_nuts_binomial_logit::gam_nuts_binomial_logit_recovers_truth_and_is_calibrated	0	17	1	0	rhat=1.0001 rhat=1.0012 	
78	GAM_ERROR	gam_fit_failed	families::quality_vs_pymc_nuts_binomial_logit::gam_nuts_binomial_logit_recovers_truth_and_is_calibrated_on_real_data	101	2	0	1		thread 'families::quality_vs_pymc_nuts_binomial_logit::gam_nuts_binomial_logit_recovers_truth_and_is_calibrated_on_real_data' (47028) panicked at tests/quality/families/quality_vs_pymc_nuts_binomial_logit.rs:550:66: :: gam binomial fit: IntegrationFailed { reason: 'Invalid input: exact smoothing-corrected covariance unavailable: OuterHessianInverse { error: \'rho Hessian has negative curvature -1.
79	PASS	ok	families::quality_vs_scipy_conjugate_gaussian_posterior::gam_nuts_posterior_matches_scipy_exact_conjugate_gaussian	0	4	1	0		
80	PASS	ok	families::quality_vs_scipy_johnsonsu_sas_link_transform_math::gam_sas_link_transform_matches_scipy_sinh_arcsinh_cdf	0	0	1	0		
81	PASS	ok	families::quality_vs_scipy_sandwich_glm_gaussian::gam_alo_sandwich_ci_covers_true_linear_predictor_at_nominal_rate	0	1	1	0	coverage=0.9544 coverage=0.9544 	
82	PASS	ok	families::quality_vs_scoringrules_pit_gaussian_location_scale::gam_location_scale_pit_is_calibrated_on_holdout	0	1	1	0		
